tokenAddress,CollectionName,Symbol,TokenStandard,TotalSupply,AveragePriceRecent,FloorPriceRecent,RecentTradesCollected,ContractAddress,Chain
0xd78b76fcc33cd416da9d3d42f72649a23d7ac647,Lil Heroes,LIL,ERC721,,5151599000000000.0,4000000000000000.0,10.0,,
0x716f29b8972d551294d9e02b3eb0fc1107fbf4aa,Imaginary Ones,IO,ERC721,,1.1241979e+17,1.122999e+17,10.0,,
0x1a2f71468f656e97c2f86541e57189f59951efe7,CryptoMories,CRYPTOMORIES,ERC721,,1.6e+16,1000000000000000.0,10.0,,
0x4a33f4f14989f5841a0807166bc43a7a7ec17c0c,0xy Utility Token,,ERC1155,,5e+16,5e+16,10.0,,
0x9c8ff314c9bc7f6e59a9d9225fb22946427edc03,Nouns,NOUN,ERC721,,1.3022661e+18,1.11e+18,10.0,,
0x5c1a0cc6dadf4d0fb31425461df35ba80fcbc110,Farm Land by Pixels,FARM,ERC721,,4.31163e+17,3.38e+17,10.0,,
0x469823c7b84264d1bafbcd6010e9cdf1cac305a3,Crypto Bull Society,CBS,ERC721,,2.1221e+16,1.44e+16,10.0,,
0x099689220846644f87d1137665cded7bf3422747,Robotos,ROBO,ERC721,,4829200000000000.0,3015000000000000.0,10.0,,
0xca7ca7bcc765f77339be2d648ba53ce9c8a262bd,Tubby Cats,TUBBY,ERC721,,2.23174e+16,9849000000000000.0,10.0,,
0xc8adfb4d437357d0a656d4e62fd9a6d22e401aa0,CryptoBatz by Ozzy Osbourne,BATZ,ERC721,,1.8052349999999e+16,1.49e+16,10.0,,
0x97597002980134bea46250aa0510c9b90d87a587,Chain Runners,RUN,ERC721,,2.080245e+16,1.41705e+16,10.0,,
0xa08126f5e1ed91a635987071e6ff5eb2aeb67c48,GalaxyEggs,GLXY,ERC721,,7.53033e+16,1.6368e+16,10.0,,
0x3903d4ffaaa700b62578a66e7a67ba4cb67787f9,Quirkies,QRKS,ERC721,,1.920825e+16,7000000000000000.0,10.0,,
0x80336ad7a747236ef41f47ed2c7641828a480baa,Chimpers,CHIMP,ERC721,,3.3213812000000205e+17,10000.0,10.0,,
0xe012baf811cf9c05c408e879c399960d1f305903,Koda,KODA,ERC721,,1.448775e+18,1.17585e+18,10.0,,
0xb5c747561a185a146f83cfff25bdfd2455b31ff4,Boss Beauties,BOSSB,ERC721,,1.240055e+16,1e+16,10.0,,
0x7ecb204fed7e386386cab46a1fcb823ec5067ad5,FULL SEND METACARD,FSMC,ERC721,,2.7372352e+16,9100000000000000.0,10.0,,
0x790b2cf29ed4f310bf7641f013c65d4560d28371,Otherdeed Expanded,EXP,ERC721,,2.1509e+17,1.59e+17,10.0,,
0x999e88075692bcee3dbc07e7e64cd32f39a1d3ab,Wizards & Dragons Game,WnD,ERC721,,8284250000000000.0,100000000000000.0,10.0,,
0xf1268733c6fb05ef6be9cf23d24436dcd6e0b35e,Desperate ApeWives,DAW,ERC721,,2.148446e+16,1.41705e+16,10.0,,
0x036721e5a769cc48b3189efbb9cce4471e8a48b1,Checks,CHECKS,ERC721,,4.06581e+17,3.1758e+17,10.0,,
0xc631164b6cb1340b5123c9162f8558c866de1926,Divine Anarchy,DA,ERC721,,1.30983e+16,3500000000000000.0,10.0,,
0x42069abfe407c60cf4ae4112bedead391dba1cdb,CryptoDickbutts S3,CDB,ERC721,,1.17650523e+18,9.1e+17,10.0,,
0x1d20a51f088492a0f1c57f047a9e30c9ab5c07ea,loomlocknft,LL,ERC721,,2.0079524e+17,1.74e+17,10.0,,
0xc99c679c50033bbc5321eb88752e89a93e9e83c5,KILLABEARS,KILLABEARS,ERC721,,1.1888715e+17,9.7263e+16,10.0,,
0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,Decentraland LAND,LAND,ERC721,,9.33846e+17,9.33846e+17,10.0,,
0x5ab21ec0bfa0b29545230395e3adaca7d552c948,PUNKS Comic,COMIC,ERC721,,6.80509e+16,4.6e+16,10.0,,
0x9bf252f97891b907f002f2887eff9246e3054080,apekidsclub,AKC,ERC721,,1.95082499927e+16,2215500000000000.0,10.0,,
0xe0176ba60efddb29cac5b15338c9962daee9de0c,PREMINT Collector,PREMINTCOLL,ERC721,,3378849999700000.0,2412000000000000.0,10.0,,
0x7daec605e9e2a1717326eedfd660601e2753a057,,,ERC1155,,1.026804989e+16,1909500000000000.0,10.0,,
0x3a5051566b2241285be871f650c445a88a970edd,The Humanoids ,HMNDS,ERC721,,8182700000000000.0,5800000000000000.0,10.0,,
0xaad35c2dadbe77f97301617d82e661776c891fa9,Akutars,AKU,ERC721,,4.32928e+16,1.79e+16,10.0,,
0xf497253c2bb7644ebb99e4d9ecc104ae7a79187a,Sevens Token,SEVENS,ERC721,,4.6875722e+16,1.72e+16,10.0,,
0x0cfb5d82be2b949e8fa73a656df91821e2ad99fd,10KTF,10KTF,ERC721,,5067100000000000.0,2412000000000000.0,10.0,,
0xa28d6a8eb65a41f3958f1de62cbfca20b817e66a,Nobody,NOBODY,ERC721,,4.179035e+16,3.8994e+16,10.0,,
0x231d3559aa848bf10366fb9868590f01d34bf240,Valhalla,VAL,ERC721,,1.4752705e+17,4.221e+16,10.0,,
0x14e0a1f310e2b7e321c91f58847e98b8c802f6ef,HypeBears,HB,ERC721,,5557550000000000.0,1700000000000000.0,10.0,,
0x466cfcd0525189b573e794f554b8a751279213ac,Dooplicator,DOOPL,ERC721,,3.790225e+16,2.68e+16,10.0,,
0x94638cbf3c54c1f956a5f05cbc0f9afb6822020d,inbetweeners,IBNS,ERC721,,2.543798e+16,1.6281e+16,10.0,,
